Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-08-23 1:04 AM","2018-08-23 9:44 AM","428","91","29","519","22","326","80"
"2018-08-23 11:47 PM","2018-08-24 8:34 AM","455","72","41","527","56","303","96"
"2018-08-24 11:31 PM","2018-08-25 6:50 AM","417","22","0","439","N/A","N/A","N/A"
"2018-08-25 11:39 PM","2018-08-26 8:25 AM","477","49","2","526","N/A","N/A","N/A"
"2018-08-27 12:59 AM","2018-08-27 8:10 AM","389","42","21","431","68","218","103"
"2018-08-28 12:35 AM","2018-08-28 8:18 AM","409","54","32","463","64","262","83"
"2018-08-29 11:43 PM","2018-08-30 8:41 AM","504","33","1","537","N/A","N/A","N/A"
"2018-08-30 10:53 PM","2018-08-31 7:57 AM","495","49","1","544","N/A","N/A","N/A"
"2018-08-31 11:29 PM","2018-09-01 7:44 AM","447","48","2","495","N/A","N/A","N/A"
"2018-09-01 11:02 PM","2018-09-02 8:07 AM","495","49","2","545","N/A","N/A","N/A"
"2018-09-02 11:01 PM","2018-09-03 8:41 AM","508","72","37","580","110","265","133"
"2018-09-03 11:42 PM","2018-09-04 7:20 AM","397","61","26","458","48","246","103"
"2018-09-04 11:42 PM","2018-09-05 5:52 AM","359","11","1","370","N/A","N/A","N/A"
"2018-09-05 11:43 PM","2018-09-06 7:07 AM","376","68","33","444","29","201","146"
"2018-09-07 12:31 AM","2018-09-07 8:43 AM","427","65","32","492","39","293","95"
"2018-09-07 10:04 PM","2018-09-08 5:43 AM","411","48","30","459","69","255","87"
"2018-09-09 3:22 AM","2018-09-09 7:41 AM","226","32","20","258","33","166","27"
"2018-09-10 12:00 AM","2018-09-10 6:45 AM","352","53","31","405","57","180","115"
"2018-09-10 10:49 PM","2018-09-11 7:05 AM","450","46","36","496","114","196","140"
"2018-09-11 11:40 PM","2018-09-12 7:47 AM","470","17","0","487","N/A","N/A","N/A"
"2018-09-12 11:47 PM","2018-09-13 7:24 AM","434","22","0","456","N/A","N/A","N/A"
"2018-09-14 12:15 AM","2018-09-14 7:11 AM","383","33","20","416","108","214","61"
"2018-09-14 11:39 PM","2018-09-15 7:23 AM","411","52","35","463","56","218","137"
"2018-09-15 11:07 PM","2018-09-16 6:31 AM","389","55","33","444","64","191","134"
"2018-09-16 10:50 PM","2018-09-17 5:55 AM","395","30","22","425","72","224","99"
"2018-09-17 10:23 PM","2018-09-18 6:59 AM","454","62","36","516","54","295","105"
