Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2019-05-13 2:06 PM","2019-05-13 3:55 PM","105","4","1","109","N/A","N/A","N/A"
"2019-05-14 12:59 AM","2019-05-14 7:34 AM","372","23","18","395","89","197","86"
"2019-05-14 11:24 PM","2019-05-15 6:59 AM","409","46","28","455","68","231","110"
"2019-05-15 11:51 PM","2019-05-16 6:58 AM","363","64","25","427","46","223","94"
"2019-05-16 10:58 PM","2019-05-17 7:00 AM","428","53","25","481","54","236","138"
"2019-05-18 12:56 AM","2019-05-18 7:00 AM","323","41","21","364","73","144","106"
"2019-05-18 12:56 AM","2019-05-18 7:00 AM","323","41","21","364","73","144","106"
"2019-05-19 12:34 AM","2019-05-19 8:05 AM","391","59","27","450","43","224","124"
"2019-05-19 11:19 PM","2019-05-20 6:35 AM","372","64","21","436","47","240","85"
"2019-05-20 11:20 PM","2019-05-21 7:01 AM","444","16","2","460","N/A","N/A","N/A"
"2019-05-21 10:53 PM","2019-05-22 6:36 AM","438","25","2","463","N/A","N/A","N/A"
"2019-05-22 11:39 PM","2019-05-23 4:31 AM","269","23","4","292","N/A","N/A","N/A"
"2019-05-23 10:00 PM","2019-05-24 6:28 AM","486","17","3","508","N/A","N/A","N/A"
"2019-05-25 12:24 AM","2019-05-25 7:28 AM","368","55","20","423","103","142","123"
"2019-05-25 11:04 PM","2019-05-26 7:56 AM","448","84","27","532","71","291","86"
"2019-05-27 12:07 AM","2019-05-27 6:40 AM","372","21","2","393","N/A","N/A","N/A"
"2019-05-27 10:06 PM","2019-05-28 6:32 AM","468","38","2","506","N/A","N/A","N/A"
"2019-05-29 12:32 AM","2019-05-29 6:58 AM","372","13","1","385","N/A","N/A","N/A"
"2019-05-29 10:46 PM","2019-05-30 6:33 AM","447","19","2","466","N/A","N/A","N/A"
"2019-05-30 11:50 PM","2019-05-31 5:13 AM","260","63","13","323","29","150","81"
"2019-05-31 11:31 PM","2019-06-01 8:10 AM","453","65","30","518","98","233","122"
"2019-06-01 1:58 PM","2019-06-01 4:24 PM","145","1","0","146","N/A","N/A","N/A"
"2019-06-02 12:07 AM","2019-06-02 6:29 AM","357","24","2","381","N/A","N/A","N/A"
"2019-06-02 11:30 PM","2019-06-03 6:16 AM","393","11","1","406","N/A","N/A","N/A"
"2019-06-04 12:09 AM","2019-06-04 6:12 AM","328","35","17","363","94","194","40"
"2019-06-04 10:59 PM","2019-06-05 2:14 AM","173","22","7","195","35","110","28"
"2019-06-05 10:43 PM","2019-06-06 6:42 AM","409","70","24","479","105","206","98"
"2019-06-07 2:27 AM","2019-06-07 8:01 AM","316","16","1","334","N/A","N/A","N/A"
"2019-06-07 10:25 PM","2019-06-08 6:48 AM","457","46","3","503","N/A","N/A","N/A"
"2019-06-08 10:08 PM","2019-06-09 2:24 AM","224","32","14","256","51","158","15"
"2019-06-09 4:26 AM","2019-06-09 6:53 AM","138","9","0","147","N/A","N/A","N/A"
"2019-06-09 10:27 PM","2019-06-10 7:56 AM","502","67","25","569","96","255","151"
"2019-06-12 11:23 PM","2019-06-13 6:17 AM","400","14","1","414","N/A","N/A","N/A"
"2019-06-13 10:38 PM","2019-06-14 6:43 AM","476","9","0","485","N/A","N/A","N/A"
"2019-06-14 10:28 PM","2019-06-15 7:05 AM","494","23","3","517","N/A","N/A","N/A"
"2019-06-15 10:37 PM","2019-06-16 5:29 AM","355","57","22","412","38","249","68"
"2019-06-16 11:59 PM","2019-06-17 5:18 AM","269","50","24","319","21","192","56"
"2019-06-16 11:59 PM","2019-06-17 5:18 AM","269","50","24","319","21","192","56"
"2019-06-17 10:57 PM","2019-06-18 6:05 AM","378","50","24","428","108","176","94"
"2019-06-19 10:32 PM","2019-06-20 6:43 AM","461","30","1","491","N/A","N/A","N/A"
"2019-06-21 12:26 AM","2019-06-21 8:25 AM","458","21","2","479","N/A","N/A","N/A"
"2019-06-21 10:37 AM","2019-06-21 11:48 AM","66","4","1","70","N/A","N/A","N/A"
"2019-06-21 3:24 PM","2019-06-21 4:41 PM","72","5","0","77","N/A","N/A","N/A"
"2019-06-22 12:24 AM","2019-06-22 7:02 AM","375","23","1","398","N/A","N/A","N/A"
"2019-06-22 11:49 PM","2019-06-23 6:00 AM","347","24","2","371","N/A","N/A","N/A"
"2019-06-23 11:23 PM","2019-06-24 6:12 AM","363","46","20","409","54","177","132"
"2019-06-24 11:02 PM","2019-06-25 5:53 AM","363","48","22","411","102","194","67"
"2019-06-27 11:01 PM","2019-06-28 6:12 AM","409","16","2","431","N/A","N/A","N/A"
"2019-06-28 10:38 PM","2019-06-29 6:32 AM","449","23","1","474","N/A","N/A","N/A"
"2019-06-29 11:41 PM","2019-06-30 6:39 AM","401","14","0","418","N/A","N/A","N/A"
"2019-06-30 11:51 PM","2019-07-01 6:13 AM","334","47","17","381","72","192","70"
"2019-07-01 10:40 PM","2019-07-02 5:33 AM","360","53","21","413","80","242","38"
"2019-07-02 11:27 PM","2019-07-03 5:57 AM","346","44","14","390","88","157","101"
"2019-07-04 12:58 AM","2019-07-04 6:59 AM","351","10","0","361","N/A","N/A","N/A"
"2019-07-05 1:30 AM","2019-07-05 9:35 AM","460","24","2","484","N/A","N/A","N/A"
