Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2017-08-29 10:42 PM","2017-08-30 6:33 AM","403","68","26","471","31","302","70"
"2017-08-30 10:37 PM","2017-08-31 7:51 AM","480","74","28","554","61","357","62"
"2017-08-31 10:47 PM","2017-09-01 6:56 AM","423","66","19","489","75","257","91"
"2017-09-01 10:45 PM","2017-09-02 6:57 AM","433","59","27","492","72","250","111"
"2017-09-02 9:49 PM","2017-09-03 7:42 AM","506","87","24","593","62","313","131"
"2017-09-03 10:25 PM","2017-09-04 7:18 AM","496","37","2","533","N/A","N/A","N/A"
"2017-09-04 10:35 PM","2017-09-05 7:07 AM","469","32","3","512","N/A","N/A","N/A"
"2017-09-05 9:46 PM","2017-09-06 6:27 AM","487","25","3","521","N/A","N/A","N/A"
"2017-09-06 11:03 PM","2017-09-07 6:57 AM","413","61","28","474","45","307","61"
"2017-09-07 10:51 PM","2017-09-08 7:02 AM","430","61","27","491","86","245","99"
"2017-09-08 11:07 PM","2017-09-09 7:02 AM","399","76","24","475","103","183","113"
"2017-09-09 10:40 PM","2017-09-10 7:45 AM","472","73","30","545","97","226","149"
"2017-09-10 10:06 PM","2017-09-11 6:25 AM","443","56","21","499","68","259","116"
"2017-09-11 10:37 PM","2017-09-12 6:55 AM","426","72","31","498","28","259","139"
"2017-09-12 10:33 PM","2017-09-13 6:50 AM","419","78","23","497","57","248","114"
"2017-09-13 11:08 PM","2017-09-14 7:29 AM","443","57","34","500","72","237","134"
"2017-09-14 11:10 PM","2017-09-15 6:40 AM","382","68","23","450","71","231","80"
"2017-09-15 11:19 PM","2017-09-16 6:49 AM","394","55","19","449","68","247","79"
"2017-09-17 12:30 AM","2017-09-17 9:39 AM","483","66","31","549","83","291","109"
"2017-09-17 11:18 PM","2017-09-18 6:59 AM","405","55","23","460","111","203","91"
"2017-09-18 11:00 PM","2017-09-19 6:47 AM","420","47","36","467","72","272","76"
"2017-09-19 10:23 PM","2017-09-20 6:55 AM","440","71","22","511","104","177","159"
"2017-09-20 9:47 PM","2017-09-21 7:13 AM","479","87","32","566","52","352","75"
"2017-09-21 10:22 PM","2017-09-22 6:49 AM","436","71","32","507","101","218","117"
"2017-09-22 10:08 PM","2017-09-23 6:23 AM","426","68","20","494","98","223","105"
"2017-09-23 11:39 PM","2017-09-24 8:17 AM","455","62","22","517","81","283","91"
"2017-09-24 10:04 PM","2017-09-25 6:58 AM","459","75","22","534","72","271","116"
"2017-09-24 10:04 PM","2017-09-25 6:58 AM","459","75","22","534","72","271","116"
"2017-09-25 11:03 PM","2017-09-26 6:56 AM","381","92","18","473","27","248","106"
"2017-09-26 10:53 PM","2017-09-27 7:00 AM","437","49","24","486","121","256","60"
"2017-09-27 11:01 PM","2017-09-28 6:49 AM","417","51","24","468","90","246","81"
"2017-09-28 11:02 PM","2017-09-29 6:58 AM","411","65","33","476","81","252","78"
"2017-09-29 11:03 PM","2017-09-30 7:05 AM","418","64","34","482","87","220","111"
"2017-09-30 11:41 PM","2017-10-01 8:36 AM","461","74","32","535","38","296","127"
"2017-10-01 10:38 PM","2017-10-02 6:59 AM","430","71","34","501","50","269","111"
"2017-10-02 11:18 PM","2017-10-03 6:59 AM","415","46","33","461","23","247","145"
"2017-10-03 11:13 PM","2017-10-04 7:00 AM","409","58","35","467","64","237","108"
"2017-10-04 11:20 PM","2017-10-05 7:32 AM","436","55","29","491","83","273","80"
"2017-10-05 11:20 PM","2017-10-06 6:59 AM","383","76","32","459","47","213","123"
"2017-10-06 11:28 PM","2017-10-07 6:59 AM","405","46","25","451","61","244","100"
"2017-10-07 11:40 PM","2017-10-08 7:29 AM","395","74","25","469","48","253","94"
"2017-10-08 11:50 PM","2017-10-09 7:29 AM","401","58","30","459","56","288","57"
"2017-10-09 11:30 PM","2017-10-10 8:01 AM","443","68","39","511","63","238","142"
"2017-10-10 11:02 PM","2017-10-11 7:56 AM","454","80","21","534","100","347","7"
"2017-10-12 12:32 AM","2017-10-12 7:52 AM","370","70","22","440","62","193","115"
"2017-10-12 10:50 PM","2017-10-13 7:30 AM","451","68","32","519","91","272","88"
"2017-10-13 11:39 PM","2017-10-14 6:34 AM","353","62","31","415","74","200","79"
"2017-10-15 12:32 AM","2017-10-15 8:01 AM","385","63","33","448","42","226","117"
"2017-10-15 10:03 PM","2017-10-16 4:20 AM","352","25","1","377","N/A","N/A","N/A"
"2017-10-17 1:03 AM","2017-10-17 8:31 AM","381","66","30","447","46","220","115"
"2017-10-18 12:20 AM","2017-10-18 9:37 AM","456","101","33","557","24","279","153"
"2017-10-19 1:02 AM","2017-10-19 9:00 AM","412","66","30","478","69","205","138"
"2017-10-20 12:46 AM","2017-10-20 8:03 AM","366","70","29","436","72","195","99"
"2017-10-20 11:56 PM","2017-10-21 8:33 AM","446","71","33","517","62","325","59"
"2017-10-21 9:29 PM","2017-10-22 4:45 AM","418","18","1","436","N/A","N/A","N/A"
"2017-10-22 11:42 PM","2017-10-23 6:59 AM","364","73","26","437","71","196","97"
"2017-10-23 10:55 PM","2017-10-24 6:59 AM","407","77","36","484","43","296","68"
"2017-10-24 11:35 PM","2017-10-25 7:07 AM","401","43","3","451","N/A","N/A","N/A"
"2017-10-24 11:35 PM","2017-10-25 7:07 AM","401","43","3","451","N/A","N/A","N/A"
"2017-10-26 12:40 AM","2017-10-26 9:01 AM","412","88","41","500","38","251","123"
"2017-10-26 10:31 PM","2017-10-27 8:05 AM","498","76","45","574","95","263","140"
"2017-10-27 11:34 PM","2017-10-28 8:04 AM","461","49","2","510","N/A","N/A","N/A"
"2017-10-28 11:28 PM","2017-10-29 7:57 AM","471","36","2","508","N/A","N/A","N/A"
"2017-10-29 11:04 PM","2017-10-30 6:59 AM","422","52","37","474","49","276","97"
"2017-10-31 12:01 AM","2017-10-31 7:16 AM","372","62","34","434","17","274","81"
"2017-10-31 10:47 PM","2017-11-01 8:06 AM","479","80","41","559","81","270","128"
"2017-11-01 11:49 PM","2017-11-02 8:16 AM","426","81","48","507","66","239","121"
"2017-11-02 10:40 PM","2017-11-03 7:27 AM","445","82","35","527","46","283","116"
"2017-11-03 4:03 PM","2017-11-03 5:40 PM","94","2","1","96","N/A","N/A","N/A"
"2017-11-03 10:34 PM","2017-11-04 7:07 AM","431","82","27","513","43","292","96"
"2017-11-04 9:46 PM","2017-11-05 8:17 AM","551","80","53","631","106","274","171"
"2017-11-05 11:02 PM","2017-11-06 7:25 AM","405","98","37","503","33","271","101"
"2017-11-06 9:59 PM","2017-11-07 5:44 AM","412","53","34","465","84","207","121"
"2017-11-07 10:26 PM","2017-11-08 5:44 AM","384","54","33","438","54","220","110"
"2017-11-08 10:11 PM","2017-11-09 5:41 AM","384","65","30","449","85","186","113"
"2017-11-09 9:33 PM","2017-11-10 5:30 AM","423","54","33","477","75","223","125"
"2017-11-10 10:04 PM","2017-11-11 5:44 AM","386","74","36","460","0","260","126"
"2017-11-11 9:46 PM","2017-11-12 5:44 AM","416","62","28","478","47","232","137"
"2017-11-12 11:10 PM","2017-11-13 6:46 AM","410","46","33","456","65","249","96"
"2017-11-13 10:26 PM","2017-11-14 6:39 AM","434","59","26","493","78","273","83"
"2017-11-14 10:13 PM","2017-11-15 8:49 AM","557","79","47","636","120","330","107"
"2017-11-15 10:42 PM","2017-11-16 8:43 AM","537","64","52","601","81","343","113"
"2017-11-16 11:16 PM","2017-11-17 9:36 AM","538","82","40","620","49","338","151"
"2017-11-17 10:28 PM","2017-11-18 7:55 AM","483","84","47","567","56","307","120"
"2017-11-18 11:16 PM","2017-11-19 8:25 AM","455","93","37","548","62","280","113"
"2017-11-19 9:39 PM","2017-11-20 7:03 AM","489","75","40","564","65","273","151"
"2017-11-20 11:11 PM","2017-11-21 7:55 AM","463","61","39","524","89","271","103"
"2017-11-21 11:37 PM","2017-11-22 6:53 AM","382","54","30","436","37","248","97"
"2017-11-22 10:57 PM","2017-11-23 6:40 AM","408","55","31","463","94","165","149"
"2017-11-23 10:43 PM","2017-11-24 6:31 AM","403","65","28","468","93","180","130"
"2017-11-23 10:43 PM","2017-11-24 6:31 AM","403","65","28","468","93","180","130"
"2017-11-24 11:17 PM","2017-11-25 8:29 AM","471","81","47","552","31","355","85"
"2017-11-26 12:45 AM","2017-11-26 7:13 AM","346","42","27","388","69","188","89"
"2017-11-26 11:24 PM","2017-11-27 7:41 AM","430","66","41","496","66","212","152"
"2017-11-27 11:30 PM","2017-11-28 7:54 AM","434","70","37","504","41","288","105"
"2017-11-28 11:52 PM","2017-11-29 7:57 AM","419","66","34","485","80","228","111"
"2017-11-29 10:47 PM","2017-11-30 7:13 AM","432","74","35","506","47","279","106"
"2017-12-01 12:11 AM","2017-12-01 8:33 AM","420","82","29","502","29","267","124"
"2017-12-01 11:57 PM","2017-12-02 6:34 AM","351","46","27","397","53","209","89"
"2017-12-02 10:28 PM","2017-12-03 6:34 AM","433","53","36","486","65","273","95"
"2017-12-03 11:23 PM","2017-12-04 7:42 AM","437","62","40","499","91","208","138"
"2017-12-04 11:39 PM","2017-12-05 7:41 AM","451","31","3","482","N/A","N/A","N/A"
"2017-12-05 11:52 PM","2017-12-06 8:15 AM","425","77","35","502","48","271","106"
"2017-12-06 10:29 PM","2017-12-07 7:52 AM","499","64","40","563","75","307","117"
"2017-12-07 11:38 PM","2017-12-08 8:54 AM","472","84","42","556","74","266","132"
"2017-12-08 10:56 PM","2017-12-09 8:17 AM","493","68","39","561","57","322","114"
"2017-12-09 11:04 PM","2017-12-10 8:33 AM","490","79","36","569","52","309","129"
