Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2021-01-20 9:25 PM","2021-01-21 5:40 AM","444","50","20","494","79","291","74"
"2021-01-21 9:53 PM","2021-01-22 7:04 AM","475","76","38","551","29","312","134"
"2021-01-22 10:19 PM","2021-01-23 8:20 AM","512","89","35","601","74","323","115"
"2021-01-23 10:16 PM","2021-01-24 7:33 AM","466","91","24","557","60","278","128"
"2021-01-24 10:37 PM","2021-01-25 7:53 AM","455","101","30","556","93","293","69"
"2021-01-25 10:20 PM","2021-01-26 7:57 AM","498","79","32","577","53","353","92"
"2021-01-26 10:38 PM","2021-01-27 7:59 AM","480","81","37","561","83","313","84"
"2021-01-27 10:00 PM","2021-01-28 7:04 AM","479","65","22","544","124","235","120"
"2021-01-29 2:00 AM","2021-01-29 7:07 AM","264","43","22","307","36","172","56"
"2021-01-29 11:15 PM","2021-01-30 7:02 AM","438","27","1","467","N/A","N/A","N/A"
"2021-01-31 12:01 AM","2021-01-31 7:59 AM","448","30","1","478","N/A","N/A","N/A"
"2021-01-31 10:46 PM","2021-02-01 7:47 AM","462","79","29","541","63","264","135"
"2021-02-01 10:35 PM","2021-02-02 8:03 AM","492","76","33","568","79","239","174"
"2021-02-02 10:52 PM","2021-02-03 7:58 AM","455","91","27","546","58","271","126"
"2021-02-03 11:33 PM","2021-02-04 7:46 AM","406","87","22","493","102","147","157"
"2021-02-04 11:07 PM","2021-02-05 8:00 AM","479","53","32","532","103","273","103"
"2021-02-06 12:15 AM","2021-02-06 8:03 AM","431","37","2","468","N/A","N/A","N/A"
"2021-02-06 12:15 AM","2021-02-06 8:03 AM","431","37","2","468","N/A","N/A","N/A"
"2021-02-06 11:16 PM","2021-02-07 7:37 AM","427","73","38","500","71","226","130"
"2021-02-07 11:34 PM","2021-02-08 8:03 AM","438","71","29","509","94","234","110"
"2021-02-08 11:15 PM","2021-02-09 5:59 AM","356","48","21","404","81","173","102"
"2021-02-10 12:17 AM","2021-02-10 7:47 AM","383","67","24","450","86","214","83"
"2021-02-10 1:03 PM","2021-02-10 3:00 PM","114","3","1","117","N/A","N/A","N/A"
"2021-02-10 11:27 PM","2021-02-11 7:32 AM","410","74","34","484","71","252","87"
"2021-02-11 11:09 PM","2021-02-12 7:52 AM","466","57","28","523","89","255","122"
"2021-02-12 10:46 PM","2021-02-13 7:54 AM","467","81","32","548","67","285","115"
"2021-02-13 10:47 PM","2021-02-14 8:20 AM","480","93","34","573","110","266","104"
"2021-02-14 10:47 PM","2021-02-15 7:02 AM","437","58","21","495","66","327","44"
"2021-02-15 10:03 PM","2021-02-16 6:32 AM","444","65","37","509","40","306","98"
"2021-02-16 10:48 PM","2021-02-17 6:34 AM","402","64","27","466","98","258","46"
"2021-02-17 10:58 PM","2021-02-18 6:52 AM","392","82","24","474","94","220","78"
"2021-02-18 11:04 PM","2021-02-19 7:40 AM","450","66","31","516","66","281","103"
"2021-02-19 10:46 PM","2021-02-20 6:27 AM","405","56","26","461","65","248","92"
"2021-02-20 10:03 PM","2021-02-21 7:27 AM","538","26","0","564","N/A","N/A","N/A"
"2021-02-21 10:31 PM","2021-02-22 2:12 AM","200","21","7","221","29","129","42"
"2021-02-26 11:25 PM","2021-02-27 7:52 AM","483","23","2","507","N/A","N/A","N/A"
"2021-02-28 12:53 AM","2021-02-28 8:04 AM","404","26","1","431","N/A","N/A","N/A"
