Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-02-23 12:00 AM","2018-02-23 8:18 AM","463","35","4","498","N/A","N/A","N/A"
"2018-02-23 11:11 PM","2018-02-24 8:12 AM","471","70","35","541","69","274","128"
"2018-02-25 12:00 AM","2018-02-25 8:31 AM","442","68","37","510","96","237","109"
"2018-02-25 11:06 PM","2018-02-26 7:11 AM","393","92","24","485","80","200","113"
"2018-02-27 1:49 AM","2018-02-27 6:13 AM","210","54","16","264","18","117","75"
"2018-02-28 1:41 AM","2018-02-28 8:52 AM","381","50","22","431","54","260","67"
"2018-02-28 8:13 PM","2018-02-28 9:15 PM","53","8","1","61","N/A","N/A","N/A"
"2018-03-01 11:09 PM","2018-03-02 7:45 AM","452","64","23","516","58","329","65"
"2018-03-03 1:34 AM","2018-03-03 9:47 AM","458","35","2","493","N/A","N/A","N/A"
"2018-03-03 10:41 PM","2018-03-04 7:14 AM","476","37","0","513","N/A","N/A","N/A"
"2018-03-04 11:51 PM","2018-03-05 6:47 AM","346","70","29","416","40","185","121"
"2018-03-05 11:17 PM","2018-03-06 5:15 AM","346","11","0","357","N/A","N/A","N/A"
"2018-03-07 12:28 AM","2018-03-07 7:44 AM","410","26","1","436","N/A","N/A","N/A"
"2018-03-07 11:29 PM","2018-03-08 8:13 AM","448","75","34","523","44","290","114"
"2018-03-08 11:13 PM","2018-03-09 8:04 AM","466","65","38","531","73","312","81"
"2018-03-09 11:07 PM","2018-03-10 7:02 AM","415","60","29","475","59","275","81"
"2018-03-10 11:40 PM","2018-03-11 6:41 AM","389","31","2","420","N/A","N/A","N/A"
"2018-03-11 10:50 PM","2018-03-12 8:09 AM","470","89","31","559","65","273","132"
"2018-03-12 11:27 PM","2018-03-13 5:37 AM","316","54","20","370","71","182","63"
"2018-03-14 12:28 AM","2018-03-14 7:53 AM","420","25","1","445","N/A","N/A","N/A"
"2018-03-15 1:43 AM","2018-03-15 7:58 AM","322","53","28","375","73","162","87"
"2018-03-15 11:40 PM","2018-03-16 7:47 AM","409","78","31","487","45","282","82"
"2018-03-16 11:53 PM","2018-03-17 7:44 AM","411","60","27","471","38","250","123"
"2018-03-18 12:46 AM","2018-03-18 7:01 AM","331","44","27","375","50","197","84"
"2018-03-18 11:36 PM","2018-03-19 7:26 AM","443","27","1","470","N/A","N/A","N/A"
"2018-03-19 11:59 PM","2018-03-20 7:54 AM","406","69","19","475","47","277","82"
"2018-03-20 10:49 PM","2018-03-21 7:44 AM","473","62","42","535","105","268","100"
"2018-03-21 11:47 PM","2018-03-22 7:14 AM","392","55","31","447","36","232","124"
"2018-03-22 11:54 PM","2018-03-23 4:12 AM","233","25","2","258","N/A","N/A","N/A"
"2018-03-23 10:48 PM","2018-03-24 8:17 AM","514","55","23","569","103","313","98"
"2018-03-23 10:48 PM","2018-03-24 8:17 AM","514","55","23","569","103","313","98"
"2018-03-24 10:57 PM","2018-03-25 7:17 AM","448","52","23","500","53","304","91"
"2018-03-25 11:52 PM","2018-03-26 7:43 AM","416","55","27","471","89","198","129"
"2018-03-26 11:24 PM","2018-03-27 7:28 AM","426","58","33","484","67","250","109"
"2018-03-27 11:33 PM","2018-03-28 7:35 AM","458","23","0","482","N/A","N/A","N/A"
"2018-03-29 12:23 AM","2018-03-29 7:55 AM","429","22","1","451","N/A","N/A","N/A"
"2018-03-30 12:03 AM","2018-03-30 7:12 AM","396","33","1","429","N/A","N/A","N/A"
"2018-03-30 11:49 PM","2018-03-31 7:21 AM","424","28","2","452","N/A","N/A","N/A"
"2018-03-31 11:18 PM","2018-04-01 6:14 AM","377","39","27","416","37","218","122"
"2018-04-02 12:27 AM","2018-04-02 7:19 AM","397","11","0","412","N/A","N/A","N/A"
"2018-04-02 10:31 PM","2018-04-03 7:41 AM","498","51","40","549","123","238","137"
"2018-04-03 11:34 PM","2018-04-04 7:25 AM","429","42","28","471","101","193","135"
"2018-04-04 11:06 PM","2018-04-05 7:32 AM","441","65","33","506","42","271","128"
"2018-04-05 10:57 PM","2018-04-06 7:42 AM","461","64","36","525","80","274","107"
"2018-04-06 11:09 PM","2018-04-07 6:36 AM","392","55","32","447","44","269","79"
"2018-04-07 11:09 PM","2018-04-08 6:38 AM","387","62","35","449","46","229","112"
"2018-04-08 11:28 PM","2018-04-09 6:56 AM","407","41","32","448","88","195","124"
"2018-04-09 11:22 PM","2018-04-10 6:52 AM","365","84","31","449","48","188","129"
"2018-04-10 11:18 PM","2018-04-11 6:31 AM","405","28","0","433","N/A","N/A","N/A"
"2018-04-11 11:49 PM","2018-04-12 8:02 AM","443","49","32","492","93","297","53"
"2018-04-12 11:32 PM","2018-04-13 7:46 AM","434","60","35","494","136","200","98"
"2018-04-13 11:31 PM","2018-04-14 7:40 AM","411","78","30","489","81","245","85"
"2018-04-14 11:24 PM","2018-04-15 7:45 AM","465","36","2","501","N/A","N/A","N/A"
"2018-04-15 11:00 PM","2018-04-16 8:54 AM","552","42","1","594","N/A","N/A","N/A"
"2018-04-16 11:54 PM","2018-04-17 7:54 AM","451","28","0","479","N/A","N/A","N/A"
"2018-04-17 11:48 PM","2018-04-18 7:52 AM","444","40","1","484","N/A","N/A","N/A"
"2018-04-18 11:15 PM","2018-04-19 7:50 AM","435","80","32","515","62","316","57"
"2018-04-20 12:05 AM","2018-04-20 7:36 AM","382","69","28","451","39","243","100"
"2018-04-21 12:01 AM","2018-04-21 8:25 AM","438","66","37","504","80","235","123"
"2018-04-22 1:11 AM","2018-04-22 7:44 AM","374","19","2","393","N/A","N/A","N/A"
"2018-04-22 11:38 PM","2018-04-23 7:09 AM","395","56","24","451","78","217","100"
"2018-04-22 11:38 PM","2018-04-23 7:09 AM","395","56","24","451","78","217","100"
"2018-04-23 11:55 PM","2018-04-24 7:35 AM","409","51","38","460","68","254","87"
"2018-04-24 11:00 PM","2018-04-25 7:32 AM","452","59","40","511","51","277","124"
"2018-04-25 10:48 PM","2018-04-26 7:11 AM","428","74","38","502","29","291","108"
"2018-04-26 11:45 PM","2018-04-27 7:35 AM","416","54","29","470","81","216","119"
"2018-04-27 11:43 PM","2018-04-28 7:05 AM","388","54","32","442","72","231","85"
"2018-04-29 12:19 AM","2018-04-29 7:43 AM","388","56","32","444","60","246","82"
"2018-04-30 12:25 AM","2018-04-30 7:31 AM","369","57","31","426","80","225","64"
"2018-05-01 12:02 AM","2018-05-01 8:10 AM","397","91","33","488","54","258","85"
"2018-05-01 11:57 PM","2018-05-02 7:02 AM","356","69","31","425","35","239","82"
"2018-05-03 2:07 AM","2018-05-03 10:05 AM","447","31","1","478","N/A","N/A","N/A"
"2018-05-04 2:27 AM","2018-05-04 9:42 AM","399","36","1","435","N/A","N/A","N/A"
"2018-05-05 12:29 AM","2018-05-05 9:55 AM","483","83","36","566","100","239","144"
"2018-05-06 2:16 AM","2018-05-06 10:26 AM","425","65","31","490","81","216","128"
"2018-05-07 1:20 AM","2018-05-07 8:30 AM","370","60","31","430","96","179","95"
"2018-05-07 11:30 PM","2018-05-08 5:28 AM","314","44","24","358","42","193","79"
"2018-05-08 10:41 PM","2018-05-09 7:59 AM","498","60","21","558","85","328","85"
"2018-05-09 11:21 PM","2018-05-10 8:59 AM","521","57","31","578","84","291","146"
"2018-05-10 12:28 PM","2018-05-10 2:56 PM","143","5","1","148","N/A","N/A","N/A"
"2018-05-10 10:16 PM","2018-05-11 8:10 AM","571","23","2","594","N/A","N/A","N/A"
"2018-05-11 2:37 PM","2018-05-11 5:00 PM","139","3","1","143","N/A","N/A","N/A"
"2018-05-11 10:53 PM","2018-05-12 7:35 AM","476","46","1","522","N/A","N/A","N/A"
"2018-05-13 1:04 AM","2018-05-13 8:59 AM","431","43","3","474","N/A","N/A","N/A"
"2018-05-13 10:30 PM","2018-05-14 8:15 AM","499","86","28","585","79","308","112"
