Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-09-09","2,619","10,373","5","15","217","189","7","29","1,319"
"2019-09-10","3,090","13,674","6","30","145","313","13","25","1,790"
"2019-09-11","2,665","10,870","5","3","450","186","10","41","1,365"
"2019-09-12","3,065","11,985","5","0","41","300","60","23","1,765"
"2019-09-13","3,115","13,028","5","4","43","373","46","16","1,815"
"2019-09-14","3,456","16,020","7","2","101","350","88","45","2,156"
"2019-09-15","3,436","16,213","8","6","205","334","53","51","2,136"
"2019-09-16","2,973","11,420","5","11","87","222","40","46","1,673"
"2019-09-17","2,535","10,433","4","10","527","207","17","27","1,235"
"2019-09-18","2,686","10,327","4","35","309","258","24","7","1,386"
"2019-09-19","2,613","11,213","5","11","207","200","3","34","1,313"
"2019-09-20","2,738","12,400","6","22","819","207","18","30","1,438"
"2019-09-21","2,824","11,479","5","0","554","262","31","33","1,524"
"2019-09-22","2,808","11,269","5","0","125","257","24","35","1,508"
"2019-09-23","2,693","11,448","5","22","213","216","7","26","1,393"
"2019-09-24","3,165","14,577","7","14","617","192","62","63","1,865"
"2019-09-25","2,679","10,664","4","59","649","252","6","16","1,379"
"2019-09-26","3,032","11,713","6","12","188","208","20","59","1,732"
"2019-09-27","2,821","13,842","6","29","345","172","24","59","1,521"
"2019-09-28","3,657","15,991","7","5","458","411","90","28","2,357"
"2019-09-29","2,729","10,848","4","3","646","222","21","46","1,429"
"2019-09-30","2,717","11,649","6","17","292","193","11","28","1,417"
"2019-10-01","2,820","12,435","6","18","377","204","16","51","1,520"
"2019-10-02","2,844","13,599","6","26","338","222","9","29","1,544"
"2019-10-03","1,613","0","0","8","1,440","0","0","0","313"
"2019-10-04","1,613","0","0","8","1,440","0","0","0","313"
"2019-10-05","3,833","17,071","7","7","491","371","137","49","2,533"
"2019-10-06","2,825","11,491","5","15","660","229","31","34","1,525"
"2019-10-07","2,708","10,243","4","23","747","212","21","30","1,408"
"2019-10-08","2,670","10,754","4","34","768","197","15","38","1,370"
"2019-10-09","2,773","10,621","4","56","255","220","31","25","1,473"
"2019-10-10","2,638","11,197","5","47","232","191","22","32","1,338"
"2019-10-11","1,911","1,894","0","50","537","110","0","0","611"
"2019-10-12","3,368","14,758","6","2","947","432","43","18","2,068"
"2019-10-13","3,017","11,470","5","0","585","299","53","14","1,717"
"2019-10-14","2,714","10,590","4","43","663","231","9","21","1,414"
"2019-10-15","2,800","11,558","5","49","856","248","18","32","1,500"
"2019-10-16","2,929","11,257","5","21","177","279","36","18","1,629"
"2019-10-17","3,223","11,850","5","1","85","368","63","14","1,923"
"2019-10-18","3,578","13,082","5","1","0","352","122","33","2,278"
"2019-10-19","3,405","13,211","6","2","29","348","90","28","2,105"
"2019-10-20","3,432","13,957","6","0","121","422","94","11","2,132"
"2019-10-21","2,579","10,200","4","33","388","244","7","18","1,279"
"2019-10-22","2,583","10,832","4","17","319","157","5","54","1,283"
"2019-10-23","2,601","10,682","4","10","150","248","12","15","1,301"
"2019-10-24","2,557","10,529","4","34","273","206","3","18","1,257"
"2019-10-25","2,563","10,698","4","30","841","174","16","35","1,263"
"2019-10-26","2,927","10,328","4","0","776","286","25","38","1,627"
"2019-10-27","2,602","10,234","4","21","607","228","9","40","1,302"
"2019-10-28","2,616","10,192","4","41","109","187","26","36","1,316"
"2019-10-29","2,651","10,484","4","10","377","202","12","32","1,351"
"2019-10-30","2,533","10,269","4","33","247","125","11","54","1,233"
"2019-10-31","2,803","12,276","5","42","80","243","21","29","1,503"
"2019-11-01","3,024","17,283","7","65","706","179","39","83","1,724"
"2019-11-02","2,783","10,054","4","1","629","226","34","35","1,483"
"2019-11-03","3,262","14,306","6","1","46","340","35","43","1,962"
"2019-11-04","2,926","12,574","5","51","169","206","23","57","1,626"
"2019-11-05","2,556","10,532","4","16","817","147","14","44","1,256"
"2019-11-06","2,369","7,644","3","14","723","156","13","16","1,069"
"2019-11-07","2,385","6,925","3","6","802","172","4","7","1,085"
"2019-11-08","2,676","7,828","3","3","259","229","24","5","1,376"
"2019-11-09","2,425","5,180","2","1","268","169","24","5","1,125"
"2019-11-10","2,355","6,711","3","6","723","138","4","38","1,055"
"2019-11-11","2,687","7,904","3","13","106","187","52","24","1,387"
"2019-11-12","2,190","3,535","1","1","169","174","7","1","890"
"2019-11-13","2,405","3,581","1","3","295","181","0","0","1,105"
"2019-11-14","2,020","2,093","0","0","931","137","0","0","720"
"2019-11-15","2,015","2,369","1","5","781","125","0","0","715"
