Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-03-20","4,011","17,239","8","3","0","302","166","93","2,711"
"2021-03-21","4,101","17,047","7","8","0","289","214","105","2,801"
"2021-03-22","3,202","13,937","7","10","7","253","93","44","1,902"
"2021-03-23","3,466","17,371","7","220","156","176","85","113","2,166"
"2021-03-24","3,734","17,013","7","1","0","290","181","73","2,434"
"2021-03-25","3,709","19,489","8","25","48","275","127","93","2,409"
"2021-03-26","3,405","19,240","9","12","71","211","79","114","2,105"
"2021-03-27","3,676","16,823","8","8","9","269","132","92","2,376"
"2021-03-28","3,281","14,037","7","2","0","219","93","75","1,981"
"2021-03-29","3,203","13,262","6","4","0","255","80","50","1,903"
"2021-03-30","3,446","11,185","5","32","540","211","147","77","2,146"
"2021-03-31","3,726","16,110","8","9","0","320","125","83","2,426"
"2021-04-01","3,829","16,902","8","6","0","335","132","60","2,529"
"2021-04-02","3,843","18,349","9","3","0","266","161","86","2,543"
"2021-04-03","3,796","15,258","6","6","0","377","112","62","2,496"
"2021-04-04","3,591","15,929","7","26","49","306","128","69","2,291"
"2021-04-05","3,139","13,364","7","0","78","265","72","33","1,839"
"2021-04-06","3,501","13,870","6","0","0","292","151","45","2,201"
"2021-04-07","3,284","13,828","7","5","44","284","106","42","1,984"
"2021-04-08","3,185","11,988","6","8","0","276","76","37","1,885"
"2021-04-09","3,564","13,661","6","2","8","302","145","46","2,264"
"2021-04-10","3,984","15,449","7","2","0","271","225","88","2,684"
"2021-04-11","3,138","12,828","5","2","0","198","113","69","1,838"
"2021-04-12","3,803","16,431","7","4","0","392","169","44","2,503"
"2021-04-13","3,458","14,457","7","6","505","235","138","62","2,158"
"2021-04-14","3,437","14,241","6","4","0","256","173","36","2,137"
"2021-04-15","4,097","24,174","11","205","64","256","87","176","2,797"
"2021-04-16","3,971","18,150","8","4","0","351","218","46","2,671"
"2021-04-17","3,827","16,367","7","9","32","332","169","61","2,527"
"2021-04-18","4,198","31,062","15","170","563","170","84","223","2,898"
"2021-04-19","3,496","15,808","7","15","210","184","202","65","2,196"
"2021-04-20","4,239","23,000","11","33","0","270","159","146","2,939"
"2021-04-21","3,290","13,062","6","9","30","274","105","41","1,990"
"2021-04-22","3,006","13,427","6","7","234","260","66","33","1,706"
"2021-04-23","3,365","17,013","7","4","0","313","123","38","2,065"
"2021-04-24","3,554","14,959","6","6","0","289","134","61","2,254"
"2021-04-25","3,199","12,594","5","4","114","264","83","58","1,899"
"2021-04-26","3,081","13,358","6","10","358","226","60","49","1,781"
"2021-04-27","3,203","14,052","7","0","319","224","89","62","1,903"
"2021-04-28","4,090","22,976","11","34","0","234","164","138","2,790"
"2021-04-29","3,783","16,088","8","4","199","282","142","70","2,483"
"2021-04-30","3,238","14,790","6","62","346","244","72","70","1,938"
"2021-05-01","3,629","15,535","7","6","591","315","102","62","2,329"
"2021-05-02","2,985","10,349","5","16","183","210","42","57","1,685"
"2021-05-03","3,660","12,040","5","10","0","278","256","18","2,360"
"2021-05-04","3,318","17,162","8","1","170","290","96","40","2,018"
"2021-05-05","3,367","13,533","7","3","0","245","146","38","2,067"
"2021-05-06","4,148","16,854","8","12","0","236","247","94","2,848"
"2021-05-07","3,642","18,407","9","15","108","323","116","57","2,342"
"2021-05-08","2,765","11,506","5","8","108","186","70","44","1,465"
"2021-05-09","3,416","21,474","10","146","344","144","82","124","2,116"
"2021-05-10","3,511","11,477","5","17","85","291","171","41","2,211"
"2021-05-11","3,644","15,183","6","5","76","310","172","38","2,344"
"2021-05-12","3,333","10,438","4","15","519","245","94","59","2,033"
"2021-05-13","3,098","10,304","4","6","581","276","94","19","1,798"
"2021-05-14","3,645","16,159","8","3","263","274","132","58","2,345"
"2021-05-15","3,371","12,943","5","6","193","308","114","30","2,071"
"2021-05-16","3,122","11,863","5","6","158","285","101","29","1,822"
"2021-05-17","3,677","14,228","6","3","168","303","140","70","2,377"
"2021-05-18","4,137","20,199","10","7","15","223","237","111","2,837"
"2021-05-19","3,290","13,207","6","4","76","286","84","40","1,990"
"2021-05-20","3,500","15,344","7","9","88","241","100","104","2,200"
"2021-05-21","3,455","15,167","7","9","187","248","130","52","2,155"
"2021-05-22","3,626","13,414","6","8","0","334","159","41","2,326"
"2021-05-23","3,620","13,853","7","2","599","313","124","44","2,320"
"2021-05-24","2,980","10,207","5","3","581","247","18","46","1,680"
"2021-05-25","3,141","10,064","4","28","952","193","105","54","1,841"
"2021-05-26","3,268","12,947","5","3","0","263","112","52","1,968"
"2021-05-27","3,030","11,365","6","4","239","232","76","38","1,730"
"2021-05-28","2,824","10,656","4","10","99","287","49","19","1,524"
"2021-05-29","3,802","19,370","8","11","88","336","134","70","2,502"
"2021-05-30","3,615","17,037","7","7","357","340","116","59","2,315"
"2021-05-31","3,093","11,697","5","52","244","259","80","23","1,793"
"2021-06-01","2,583","10,125","5","24","289","166","7","47","1,283"
"2021-06-02","3,819","14,341","6","0","0","274","231","47","2,519"
"2021-06-03","3,428","13,556","6","8","221","322","131","10","2,128"
"2021-06-04","3,376","15,215","6","3","165","368","80","27","2,076"
"2021-06-05","3,293","14,725","6","1","36","327","106","29","1,993"
"2021-06-06","3,498","16,260","7","4","0","326","141","40","2,198"
"2021-06-07","2,448","10,379","4","3","203","129","23","57","1,148"
"2021-06-08","3,398","15,020","6","8","36","276","146","38","2,098"
"2021-06-09","3,005","14,917","6","24","350","219","55","78","1,705"
"2021-06-10","2,900","13,537","7","25","0","226","29","61","1,600"
"2021-06-11","2,842","16,881","8","30","0","210","13","75","1,542"
"2021-06-12","2,912","16,759","8","55","835","287","10","55","1,612"
"2021-06-13","2,540","11,686","6","10","771","213","4","37","1,240"
"2021-06-14","2,711","14,372","6","8","937","359","9","20","1,411"
"2021-06-15","3,050","19,672","9","6","561","386","24","51","1,750"
"2021-06-16","2,486","10,081","4","5","584","348","6","1","1,186"
"2021-06-17","2,622","12,368","6","12","784","273","0","41","1,322"
"2021-06-18","2,690","12,663","6","21","643","317","5","30","1,390"
"2021-06-19","2,618","11,997","6","24","709","248","1","42","1,318"
"2021-06-20","2,495","10,553","5","54","801","194","3","34","1,195"
"2021-06-21","2,348","11,414","5","0","1,194","199","20","27","1,048"
"2021-06-22","2,358","6,376","2","0","1,045","333","46","16","1,058"
"2021-06-23","2,590","4,769","2","0","855","563","12","10","1,290"
"2021-06-24","2,337","6,416","2","0","1,060","344","7","29","1,037"
"2021-06-25","2,670","7,312","3","0","854","586","0","0","1,370"
"2021-06-26","2,588","7,614","3","0","911","521","7","1","1,288"
"2021-06-27","2,107","7,677","3","0","1,263","171","5","1","807"
"2021-06-28","1,849","4,343","1","0","1,372","41","7","20","549"
"2021-06-29","1,570","0","0","0","1,440","0","0","0","270"
"2021-06-30","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-01","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-02","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-03","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-04","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-05","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-06","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-07","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-08","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-09","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-10","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-11","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-12","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-13","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-14","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-15","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-16","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-17","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-18","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-19","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-20","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-21","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-22","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-23","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-24","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-25","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-26","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-27","1,570","0","0","0","1,440","0","0","0","270"
"2021-07-28","1,570","0","0","0","1,440","0","0","0","270"
