Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-09-02","2,766","11,294","6","12","657","175","11","51","1,466"
"2018-09-03","2,234","3,795","1","5","154","167","0","0","934"
"2018-09-04","3,702","20,184","10","3","66","292","103","64","2,402"
"2018-09-05","3,595","20,794","10","35","624","343","46","58","2,295"
"2018-09-06","3,367","16,159","8","18","210","259","43","57","2,067"
"2018-09-07","3,024","13,971","7","2","20","252","19","49","1,724"
"2018-09-08","4,083","23,397","10","5","24","429","131","54","2,783"
"2018-09-09","3,049","12,354","5","6","566","266","72","20","1,749"
"2018-09-10","2,941","15,422","8","17","319","178","1","62","1,641"
"2018-09-11","2,377","3,924","1","11","310","166","20","3","1,077"
"2018-09-12","2,824","11,990","6","19","720","158","18","65","1,524"
"2018-09-13","2,842","10,621","4","4","697","230","23","46","1,542"
"2018-09-14","4,033","25,590","11","155","87","224","131","146","2,733"
"2018-09-15","2,392","5,868","2","7","273","199","2","8","1,092"
"2018-09-16","3,412","27,629","12","287","55","223","255","3","2,112"
"2018-09-17","2,310","5,021","2","12","379","172","8","4","1,010"
"2018-09-18","3,662","20,323","10","28","64","332","49","60","2,362"
"2018-09-19","4,173","24,868","11","233","617","324","99","149","2,873"
"2018-09-20","2,448","5,181","2","3","730","268","0","0","1,148"
"2018-09-21","2,331","5,063","2","2","797","221","0","0","1,031"
"2018-09-22","2,411","5,459","2","10","424","226","18","0","1,111"
"2018-09-23","2,482","5,800","2","5","708","217","7","15","1,182"
"2018-09-24","3,593","21,559","11","147","0","159","2","176","2,293"
"2018-09-25","2,445","6,534","2","13","198","256","0","0","1,145"
"2018-09-26","2,615","7,339","3","11","822","249","24","12","1,315"
"2018-09-27","3,059","12,726","5","12","483","304","60","27","1,759"
"2018-09-28","3,051","13,581","6","6","545","316","52","20","1,751"
"2018-09-29","2,294","6,352","2","14","748","170","8","13","994"
"2018-09-30","2,812","12,962","7","31","49","189","7","50","1,512"
"2018-10-01","2,320","5,438","2","19","682","191","13","11","1,020"
"2018-10-02","2,616","10,128","4","34","124","213","15","37","1,316"
"2018-10-03","2,954","12,533","5","16","27","241","58","39","1,654"
"2018-10-04","2,852","11,051","5","5","252","293","45","16","1,552"
"2018-10-05","3,852","22,043","10","123","469","318","103","101","2,552"
"2018-10-06","3,740","18,523","8","4","510","401","114","33","2,440"
"2018-10-07","2,507","7,202","3","7","696","201","14","19","1,207"
"2018-10-08","2,270","5,942","2","16","242","172","4","10","970"
"2018-10-09","1,847","2,440","1","29","284","56","8","2","547"
"2018-10-10","1,627","0","0","3","1,440","0","0","0","327"
"2018-10-11","1,642","0","0","47","1,440","0","0","0","342"
"2018-10-12","2,130","5,854","2","10","1,261","69","8","38","830"
"2018-10-13","2,383","7,354","3","16","665","180","5","30","1,083"
"2018-10-14","3,316","14,163","6","181","628","158","1","167","2,016"
"2018-10-15","2,415","7,358","3","23","663","183","15","17","1,115"
"2018-10-16","2,873","12,326","6","28","604","225","5","53","1,573"
"2018-10-17","3,344","13,911","6","113","245","287","57","51","2,044"
"2018-10-18","2,941","9,019","4","38","166","213","52","30","1,641"
"2018-10-19","3,169","12,016","5","54","800","230","61","50","1,869"
"2018-10-20","3,490","14,925","6","3","407","457","54","17","2,190"
"2018-10-21","3,409","14,683","6","53","226","306","93","51","2,109"
"2018-10-22","3,000","11,666","6","1","122","302","17","31","1,700"
"2018-10-23","3,721","16,157","7","8","44","372","145","43","2,421"
"2018-10-24","3,285","15,224","7","15","194","250","69","65","1,985"
"2018-10-25","2,985","7,648","3","3","229","297","76","18","1,685"
"2018-10-26","3,927","19,855","9","9","0","347","177","46","2,627"
"2018-10-27","4,480","22,982","10","113","81","267","211","147","3,180"
"2018-10-28","3,104","11,844","5","9","207","350","50","17","1,804"
"2018-10-29","2,800","8,747","3","1","211","314","50","3","1,500"
"2018-10-30","1,627","0","0","1","1,440","0","0","0","327"
"2018-10-31","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-01","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-02","1,628","0","0","0","1,440","0","0","0","328"
"2018-11-03","1,633","0","0","0","1,439","1","0","0","333"
"2018-11-04","1,651","20","0","0","1,435","5","0","0","351"
"2018-11-05","1,683","60","0","0","1,015","11","0","0","383"
"2018-11-06","1,721","81","0","0","1,425","15","0","0","421"
"2018-11-07","1,764","1,029","0","2","1,406","34","0","0","464"
"2018-11-08","1,819","561","0","0","1,385","55","0","0","519"
"2018-11-09","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-10","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-11","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-12","1,627","0","0","0","1,440","0","0","0","327"
"2018-11-13","1,843","823","0","1","1,375","65","0","0","543"
"2018-11-14","2,531","6,396","2","4","1,026","226","2","18","1,231"
"2018-11-15","2,468","5,714","2","5","728","210","1","19","1,168"
"2018-11-16","2,910","8,694","3","3","649","246","72","14","1,610"
"2018-11-17","2,839","7,203","3","0","603","338","15","3","1,539"
"2018-11-18","2,467","5,486","2","0","15","247","0","0","1,167"
"2018-11-19","2,741","6,364","2","0","0","285","33","0","1,441"
"2018-11-20","1,627","0","0","0","1,440","0","0","0","327"
