Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-06-29 10:31 PM","2020-06-30 6:30 AM","444","34","3","478","N/A","N/A","N/A"
"2020-06-30 9:49 PM","2020-07-01 6:22 AM","412","101","27","513","28","302","82"
"2020-07-01 10:11 PM","2020-07-02 6:28 AM","417","80","20","497","79","308","30"
"2020-07-02 10:27 PM","2020-07-03 6:58 AM","461","50","30","511","99","250","112"
"2020-07-03 10:22 PM","2020-07-04 7:29 AM","459","88","30","547","88","279","92"
"2020-07-04 10:54 PM","2020-07-05 7:03 AM","392","97","15","489","81","255","56"
"2020-07-05 10:11 PM","2020-07-06 7:04 AM","445","88","33","533","94","257","94"
"2020-07-06 10:43 PM","2020-07-07 7:05 AM","420","82","31","502","78","250","92"
"2020-07-07 9:10 PM","2020-07-08 6:36 AM","465","101","39","566","109","202","154"
"2020-07-08 9:46 PM","2020-07-09 7:33 AM","497","90","32","587","117","246","134"
"2020-07-09 11:26 PM","2020-07-10 7:34 AM","423","65","30","488","73","276","74"
"2020-07-10 10:28 PM","2020-07-11 8:39 AM","536","75","28","611","83","301","152"
"2020-07-10 10:28 PM","2020-07-11 8:39 AM","536","75","28","611","83","301","152"
"2020-07-11 11:01 PM","2020-07-12 8:00 AM","453","86","24","539","81","334","38"
"2020-07-12 11:01 PM","2020-07-13 8:00 AM","451","87","24","538","102","274","75"
"2020-07-13 10:13 PM","2020-07-14 7:59 AM","501","85","34","586","59","358","84"
"2020-07-14 10:28 PM","2020-07-15 6:55 AM","424","83","24","507","83","237","104"
"2020-07-15 9:46 PM","2020-07-16 9:18 AM","594","98","44","692","113","337","144"
"2020-07-16 10:37 PM","2020-07-17 8:02 AM","527","36","2","564","N/A","N/A","N/A"
"2020-07-17 9:49 PM","2020-07-18 8:11 AM","566","56","4","622","N/A","N/A","N/A"
"2020-07-18 10:03 PM","2020-07-19 8:07 AM","562","42","1","604","N/A","N/A","N/A"
"2020-07-19 10:33 PM","2020-07-20 7:52 AM","485","73","38","558","32","389","64"
"2020-07-20 10:14 PM","2020-07-21 7:56 AM","483","99","34","582","59","300","124"
"2020-07-21 11:22 PM","2020-07-22 8:08 AM","462","64","28","526","78","283","101"
"2020-07-22 11:33 PM","2020-07-23 8:06 AM","431","82","30","513","49","349","33"
"2020-07-23 10:21 PM","2020-07-24 5:58 AM","380","77","21","457","20","340","20"
"2020-07-24 9:52 PM","2020-07-25 7:52 AM","518","82","31","600","78","338","102"
"2020-07-25 11:44 PM","2020-07-26 9:01 AM","472","84","25","556","81","299","92"
"2020-07-26 10:04 PM","2020-07-27 8:05 AM","544","53","2","600","N/A","N/A","N/A"
"2020-07-27 10:37 PM","2020-07-28 8:08 AM","520","51","2","571","N/A","N/A","N/A"
"2020-07-28 11:14 PM","2020-07-29 6:59 AM","394","71","33","465","58","220","116"
"2020-07-29 10:43 PM","2020-07-30 8:02 AM","464","95","41","559","74","210","180"
"2020-07-30 10:39 PM","2020-07-31 7:58 AM","456","103","29","559","72","308","76"
"2020-07-31 11:01 PM","2020-08-01 7:53 AM","446","86","29","532","56","309","81"
"2020-08-01 11:09 PM","2020-08-02 8:44 AM","491","84","29","575","79","340","72"
"2020-08-02 10:33 PM","2020-08-03 6:58 AM","425","80","26","505","78","260","87"
"2020-08-03 10:14 PM","2020-08-04 7:29 AM","488","67","29","555","71","289","128"
"2020-08-11 11:27 PM","2020-08-12 7:56 AM","479","29","3","508","N/A","N/A","N/A"
"2020-08-12 11:40 PM","2020-08-13 8:06 AM","478","28","2","506","N/A","N/A","N/A"
"2020-08-13 10:27 PM","2020-08-14 6:25 AM","449","29","1","478","N/A","N/A","N/A"
"2020-08-14 9:35 PM","2020-08-15 8:37 AM","572","89","39","661","46","380","146"
"2020-08-16 1:50 PM","2020-08-16 3:04 PM","61","13","0","74","N/A","N/A","N/A"
"2020-08-16 9:40 PM","2020-08-17 7:17 AM","494","83","38","577","122","244","128"
"2020-08-17 8:59 PM","2020-08-18 6:01 AM","493","48","3","541","N/A","N/A","N/A"
"2020-08-18 9:53 PM","2020-08-19 6:08 AM","470","24","2","494","N/A","N/A","N/A"
"2020-08-19 9:51 PM","2020-08-20 6:46 AM","460","75","23","535","48","311","101"
"2020-08-20 9:48 PM","2020-08-21 6:08 AM","456","44","33","500","77","291","88"
"2020-08-21 9:35 PM","2020-08-22 6:01 AM","464","42","26","506","126","193","145"
"2020-08-22 10:48 PM","2020-08-23 7:08 AM","437","63","32","500","65","245","127"
