Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-03-13","2,566","6,687","3","5","244","187","35","25","1,266"
"2020-03-14","2,490","6,001","2","0","690","215","23","8","1,190"
"2020-03-15","2,633","7,694","3","1","624","231","41","10","1,333"
"2020-03-16","2,309","4,027","1","1","942","188","12","1","1,009"
"2020-03-17","2,496","5,799","2","0","344","222","22","7","1,196"
"2020-03-18","2,505","5,046","2","2","348","135","58","31","1,205"
"2020-03-19","1,613","0","0","4","1,440","0","0","0","313"
"2020-03-20","1,613","0","0","8","1,440","0","0","0","313"
"2020-03-21","1,613","0","0","8","1,440","0","0","0","313"
"2020-03-22","1,613","0","0","6","1,440","0","0","0","313"
"2020-03-23","1,613","0","0","11","1,440","0","0","0","313"
"2020-03-24","1,613","0","0","10","1,440","0","0","0","313"
"2020-03-25","1,613","0","0","7","1,440","0","0","0","313"
"2020-03-26","1,613","0","0","15","1,440","0","0","0","313"
"2020-03-27","1,613","0","0","13","1,440","0","0","0","313"
"2020-03-28","1,613","0","0","23","1,440","0","0","0","313"
"2020-03-29","1,613","0","0","19","1,440","0","0","0","313"
"2020-03-30","1,613","0","0","5","1,440","0","0","0","313"
"2020-03-31","1,613","0","0","3","1,440","0","0","0","313"
"2020-04-01","1,613","0","0","9","1,440","0","0","0","313"
"2020-04-02","1,613","0","0","7","1,440","0","0","0","313"
"2020-04-03","1,613","0","0","6","1,440","0","0","0","313"
"2020-04-04","1,613","0","0","10","1,440","0","0","0","313"
"2020-04-05","1,613","0","0","14","1,440","0","0","0","313"
"2020-04-06","1,613","0","0","9","1,440","0","0","0","313"
"2020-04-07","1,613","0","0","7","1,440","0","0","0","313"
"2020-04-08","1,613","0","0","11","1,440","0","0","0","313"
"2020-04-09","1,613","0","0","11","1,440","0","0","0","313"
"2020-04-10","1,613","0","0","18","1,440","0","0","0","313"
"2020-04-11","1,613","0","0","21","1,440","0","0","0","313"
"2020-04-12","1,613","0","0","15","1,440","0","0","0","313"
"2020-04-13","1,613","0","0","10","1,440","0","0","0","313"
"2020-04-14","1,613","0","0","15","1,440","0","0","0","313"
"2020-04-15","1,613","0","0","11","1,440","0","0","0","313"
"2020-04-16","1,613","0","0","18","1,440","0","0","0","313"
"2020-04-17","1,613","0","0","11","1,440","0","0","0","313"
"2020-04-18","1,613","0","0","13","1,440","0","0","0","313"
"2020-04-19","1,613","0","0","18","1,440","0","0","0","313"
"2020-04-20","1,613","0","0","19","1,440","0","0","0","313"
"2020-04-21","1,613","0","0","14","1,440","0","0","0","313"
"2020-04-22","1,613","0","0","15","1,440","0","0","0","313"
"2020-04-23","1,613","0","0","11","1,440","0","0","0","313"
"2020-04-24","1,613","0","0","17","1,440","0","0","0","313"
"2020-04-25","1,613","0","0","15","1,440","0","0","0","313"
"2020-04-26","1,613","0","0","16","1,440","0","0","0","313"
"2020-04-27","1,613","0","0","13","1,440","0","0","0","313"
"2020-04-28","1,613","0","0","13","1,440","0","0","0","313"
"2020-04-29","1,666","419","0","5","1,333","15","0","0","366"
"2020-04-30","2,741","10,053","4","11","649","276","20","2","1,441"
"2020-05-01","2,761","10,855","4","7","643","258","31","12","1,461"
"2020-05-02","2,951","13,189","6","15","666","255","41","37","1,651"
"2020-05-03","2,688","10,064","4","12","595","221","43","9","1,388"
"2020-05-04","2,721","8,532","3","8","156","245","39","8","1,421"
"2020-05-05","2,709","8,146","3","3","184","241","44","10","1,409"
"2020-05-06","2,623","7,518","3","2","12","219","42","13","1,323"
"2020-05-07","2,231","4,228","1","0","236","205","0","0","931"
"2020-05-08","2,908","8,043","3","0","205","240","49","30","1,608"
"2020-05-09","3,120","14,481","6","118","93","176","48","97","1,820"
"2020-05-10","2,787","9,763","4","0","505","323","22","14","1,487"
