Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2019-03-07","2,725","1,595","0","0","426","321","0","0","1,425"
"2019-03-08","2,803","9,850","4","55","549","186","16","25","1,503"
"2019-03-09","3,246","16,047","7","42","686","321","32","36","1,946"
"2019-03-10","2,621","9,434","4","10","649","219","45","16","1,321"
"2019-03-11","2,558","7,025","3","9","320","217","40","7","1,258"
"2019-03-12","2,067","3,507","1","4","1,269","89","12","9","767"
"2019-03-13","1,627","0","0","13","1,440","0","0","0","327"
"2019-03-14","1,627","0","0","2","1,440","0","0","0","327"
"2019-03-15","1,627","0","0","0","1,440","0","0","0","327"
"2019-03-16","1,627","0","0","1","1,440","0","0","0","327"
"2019-03-17","1,627","0","0","2","1,440","0","0","0","327"
"2019-03-18","2,557","9,551","4","2","1,144","160","55","35","1,257"
"2019-03-19","2,637","6,832","3","3","761","200","46","21","1,337"
"2019-03-20","2,899","13,296","6","99","684","224","69","38","1,599"
"2019-03-21","3,443","13,385","6","3","448","433","82","6","2,143"
"2019-03-22","3,827","14,720","6","1","377","188","297","45","2,527"
"2019-03-23","2,979","13,122","6","4","176","275","17","53","1,679"
"2019-03-24","3,381","15,189","7","1","33","212","97","80","2,081"
"2019-03-25","2,649","8,920","4","1","678","227","37","20","1,349"
"2019-03-26","2,733","10,394","5","2","230","241","24","28","1,433"
"2019-03-27","2,405","8,278","3","47","457","114","38","29","1,105"
"2019-03-28","1,627","0","0","1","1,440","0","0","0","327"
"2019-03-29","1,627","0","0","1","1,440","0","0","0","327"
"2019-03-30","1,627","0","0","0","1,440","0","0","0","327"
"2019-03-31","1,627","0","0","2","1,440","0","0","0","327"
"2019-04-01","1,627","0","0","0","1,440","0","0","0","327"
"2019-04-02","1,627","0","0","2","1,440","0","0","0","327"
"2019-04-03","1,627","0","0","2","1,416","0","0","0","327"
"2019-04-04","3,214","10,179","4","3","588","352","83","7","1,914"
"2019-04-05","2,809","9,844","4","2","630","335","16","18","1,509"
"2019-04-06","3,004","12,288","5","1","623","341","48","19","1,704"
