Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-02-28","3,150","11,670","5","30","218","232","40","27","1,850"
"2018-03-01","3,650","16,877","7","29","1,008","241","60","81","2,350"
"2018-03-02","2,569","7,581","3","7","213","180","47","19","1,269"
"2018-03-03","3,271","14,057","6","3","448","264","118","38","1,971"
"2018-03-04","3,591","17,706","8","2","0","390","127","22","2,291"
"2018-03-05","2,605","6,471","2","2","306","259","7","3","1,305"
"2018-03-06","4,028","23,698","10","10","545","306","182","92","2,728"
"2018-03-07","2,667","10,460","4","0","704","176","59","35","1,367"
"2018-03-08","2,626","7,614","3","1","104","208","40","25","1,326"
"2018-03-09","2,403","6,068","2","1","145","179","43","6","1,103"
"2018-03-10","3,973","22,768","10","6","0","259","214","87","2,673"
"2018-03-11","3,196","14,517","6","3","172","206","124","48","1,896"
"2018-03-12","2,440","5,017","2","3","143","206","4","7","1,140"
"2018-03-13","3,544","18,858","8","10","223","316","165","29","2,244"
"2018-03-14","3,768","20,644","9","5","451","340","155","49","2,468"
"2018-03-15","3,407","17,737","8","0","202","308","126","35","2,107"
"2018-03-16","3,955","23,411","10","7","0","327","212","54","2,655"
"2018-03-17","3,845","21,118","9","5","0","372","159","43","2,545"
"2018-03-18","2,577","5,850","2","1","409","241","15","1","1,277"
"2018-03-19","3,469","14,773","7","32","588","223","106","76","2,169"
"2018-03-20","2,837","8,676","3","18","138","176","70","37","1,537"
"2018-03-21","2,624","8,486","3","6","154","220","29","26","1,324"
"2018-03-22","3,290","13,411","6","2","114","296","122","21","1,990"
"2018-03-23","2,697","10,305","4","67","837","244","18","17","1,397"
"2018-03-24","3,249","18,770","8","94","0","179","77","97","1,949"
"2018-03-25","3,614","15,679","7","3","0","312","187","24","2,314"
"2018-03-26","2,501","6,403","2","4","219","213","30","8","1,201"
"2018-03-27","3,432","13,596","6","13","57","202","169","53","2,132"
"2018-03-28","3,497","13,218","6","2","518","276","159","32","2,197"
"2018-03-29","3,343","12,881","5","13","572","286","90","41","2,043"
"2018-03-30","4,046","22,017","10","9","384","340","239","37","2,746"
"2018-03-31","3,408","15,511","7","14","503","259","162","33","2,108"
"2018-04-01","3,785","17,521","8","3","99","403","130","18","2,485"
"2018-04-02","2,713","10,399","4","5","648","228","41","23","1,413"
"2018-04-03","3,094","15,322","7","34","87","209","57","51","1,794"
"2018-04-04","3,046","8,766","4","1","107","251","102","10","1,746"
"2018-04-05","3,450","18,642","8","171","5","220","138","57","2,150"
"2018-04-06","4,210","22,380","10","6","0","292","240","67","2,910"
"2018-04-07","2,846","9,845","4","19","237","274","34","2","1,546"
"2018-04-08","2,376","4,628","2","24","364","197","0","0","1,076"
"2018-04-09","4,662","22,752","10","129","0","344","277","80","3,362"
"2018-04-10","5,141","29,286","13","230","0","290","317","153","3,841"
"2018-04-11","5,129","29,216","13","279","290","325","286","138","3,829"
"2018-04-12","2,931","9,317","4","76","85","293","53","8","1,631"
"2018-04-13","4,018","22,469","10","305","0","223","123","129","2,718"
"2018-04-14","4,751","26,248","12","226","0","226","318","118","3,451"
"2018-04-15","4,506","25,543","11","185","293","273","250","100","3,206"
"2018-04-16","2,324","4,795","2","18","738","126","29","8","1,024"
"2018-04-17","2,686","8,719","3","6","673","245","35","2","1,386"
"2018-04-18","3,168","12,528","5","14","538","290","72","24","1,868"
"2018-04-19","3,601","19,476","8","23","0","309","155","43","2,301"
"2018-04-20","3,746","16,224","7","39","0","334","184","26","2,446"
"2018-04-21","3,664","18,046","8","5","0","338","149","29","2,364"
"2018-04-22","4,199","21,026","9","33","419","332","191","83","2,899"
"2018-04-23","3,651","19,107","8","27","9","411","117","19","2,351"
"2018-04-24","3,826","17,280","7","14","0","330","155","45","2,526"
